Simplifier,Pinyin,Catégorie Grammaticale,Traduction,Traditionnel
人情,ren2qing2,nom,sentiments humains,人情 
早晨,zao3chen2,nom,matin,早晨 
清晨,qing1chen2,nom,aube,清晨 
懒,lan3,qualificatif,paresseux,懶 
享受,xiang3shou4,verbe ," jouir de,bénéficier de ",享受 
分享,fen1xiang3,verbe,partager,分享 
牌,pai2,nom,pancarte ; marque ; carte,牌 
名牌,ming2pai2,nom ," grande marque,de renom ",名牌 
牌子,pai2zi,nom,marque,牌子 
打牌,da3pai2,verbe,jouer aux cartes,打牌 
贪,tan1,verbe ," convoiter,aspirer à,être avide de ",貪 
贪心,tan1xin1,nom ," cupidité,avide ",貪心 
贪吃,tan1chi1,verbe,ne pensez qu'à manger,貪吃 
贪玩,tan1wan2,verbe,ne penser qu'à jouer,貪玩 
贪睡,tan1shui4,verbe,ne penser qu'à dormir,貪睡 
贪污,tan1wu1,nom,corruption,貪污 
贪官,tan1guan1,nom,fonctionnaire corrompu,貪官 
罚,fa2,verbe ," punir,châtier,sanctionner ",罰 
罚款,fa2kuan3,verbe ; nom,condamner à une amende ; une amande,罰款 
处罚,chu3fa2,verbe ," punir,châtier,sanctionner ",處罰 
惩罚,cheng2fa2,verbe,punir,懲罰 
挨,ai2,verbe ," subir,endurer ",挨 
挨打,ai2da3,verbe,être battu,挨打 
挨骂,ai2ma4,verbe,être injurié,挨罵 
挨饿,ai2e4,verbe,endurer la faim,挨饿 
尺,chi3,nom ; unité de mesure ," règle,échelle ; un tiers de mètre ",尺 
尺子,chi3zi,nom ," règle,échelle ",尺子 
泪,lei4,nom,larme,淚 
抄,chao1,verbe ," copier,transcrire ; plagier ; prendre un raccourci ",抄 
抄写,chao1xie3,verbe,copier,抄寫 
抄近路,chao1jin4lu4,verbe,prendre un raccourci,抄近路 
伤,shang1,nom ; verbe,blessure ; blesser ; être triste,傷 
伤害,shang1hai4,verbe ," blesser,nuire à ",傷害 
受//伤,shou4//shang1,verbe,être blessé,受//傷 
伤心,shang1xin1,adjectif ,"  malheureux,affligé ",傷心 
尊,zun1,verbe ; adjectif,respecter ; vénérable,尊 
尊重,zun1zhong4,verbe,respecter,尊重 
自尊心,zi4zun1xin1,nom,amour-propre,自尊心 
尊贵,zun1gui4,adjectif ," distingué,respectable ",尊贵 
格,ge2,nom ," case ; norme,modèle ; caractère ",格 
格子,ge2zi,nom,case,格子 
性格,xing4ge2,nom,caractère,性格 
严格,yan2ge2,adjectif,strict,嚴格 
拒,ju4,verbe,refuser,拒 
拒绝,ju4jue2,verbe ," couper,interrompre ; hors pair,sans pareil ; absolument ",拒絕 
拒之门外,ju4zhi1men2wai4,expression,fermer la porte au nez de qqn,拒之門外 
绝//交,jue2//jiao1,verbe,cesser toute relation avec qqn,絕//交 
绝招儿,jue2zhao1r,nom,habilité hors pair,絕招兒 
绝不,jue2bu4,adverbe ," absolument pas,aucunement ",絕不 
绝对,jue2dui4,adverbe ," absolument,tout à fait ",絕對 
闲,xian2,adjectif ; nom ," oisif,inoccupé ; libre,disponible ; négligeable,secondaire ",閒/閑 
闲聊,xian2liao2,verbe,parler de choses et d'autres,閒聊/閑聊 
空闲,kong1xian2,nom,temps libre,空閒/空閑 
休闲,xiu1xian2,nom,loisir,休閒/休閑 
闲话,xian2hua4,nom ," bavardage,commérage ",閒話/閑話 
乖,guai1,adjectif,sage,乖 
乖孩子,guai1hai2zi,nom,enfant sage,乖孩子 
趁,chen2,verbe,profiter de,趁 
趁机,chen2ji1,verbe,profiter de l'occasion,趁機 
悄悄,qiao1qiao1,adverbe ," furtivement,silencieusement ",悄悄 
悄悄话,qiao1qiao1hua4,nom,confidences,悄悄話 
怨,yuan4,verbe ; nom ," blâmer,se plaindre de ; rancune,rancoeur ",怨 
抱怨,bao4yuan,verbe,se plaindre,抱怨 
怨言,yuan4yan2,nom ," plainte,doléances ",怨言 
